subjectID	Yhaplotype	Single_copy_depth	DYZ1_depth	DYZ1_norm_coverage	Num_samples
HG01610	I2	1.82784213229417	383.483829117014	209.801394957284	1
NA20351	I2	2.7546596754831	734.626574767243	266.685057796989	1
HG02470	I2	1.73578904691576	219.153999209347	126.256125189147	1
NA12748	I2	4.66576226231079	727.20320103967	155.859463075067	2
HG01344	I2	2.85589219397781	1089.45221375047	381.475258781751	1
NA12413	I2	1.26729462421412	87.4025159685138	68.9677950955678	2
HG01101	I2	3.62968395749059	507.364967307136	139.782133444452	2
NA19984	I2	3.34342244040041	1093.23396419913	326.98050685698	1
HG02536	I2	2.53256091569659	513.858259313623	202.900651324426	1
HG01988	I2	1.7337172908272	249.375543827019	143.838643789517	1
HG01197	I2	2.31529110443581	471.106171562704	203.475999480205	1
HG01527	I2	2.97495181608657	790.297486333849	265.65051644213	1
HG01167	I2	6.71383923099831	1250.80055196857	186.301832518349	2
NA11932	I2	4.00880136634524	819.151928205472	204.338367842925	2
NA12003	I2	3.84479425997964	685.500326198976	178.29311007206	2
HG00360	I2	3.0365339573199	560.478711275108	184.578443433512	1
HG00628	C3	1.6003043655907	188.912586420404	118.047910436508	1
HG02381	C3	2.9217749778632	514.89639398982	176.227258392904	1
NA19079	C3	1.91353574799212	577.587046106074	301.842830327125	1
NA18749	C3	3.12119293256457	1021.63369095722	327.321544367904	1
NA18620	C3	4.61627747911759	2130.49801172981	461.518620006581	2
NA18612	C3	4.00507761868823	1694.91567398278	423.191716953018	2
NA19091	C3	3.1888977518714	862.563161029324	270.489438089738	1
HG02141	C3	3.47979728987277	1430.14533903992	410.985244227318	1
HG03917	C3	2.91786686483728	754.444864582098	258.560414004418	1
HG02373	C3	3.17248957913882	816.962350868887	257.514589249069	1
HG03755	H1	3.5612555724624	602.610996244305	169.213072182751	1
HG03815	H1	4.5846583708596	545.873190623966	119.06518359003	1
HG03646	H1	2.38206646947679	299.608832215937	125.776856378716	1
HG04211	H1	3.05546948256357	574.20453926196	187.926779350516	1
HG03950	H1	4.37612230929759	492.554263964809	112.554958283117	1
NA20863	H1	3.21058501611628	702.145489267108	218.697055440839	1
HG04176	H1	3.45584783060701	514.872636053552	148.985910633431	1
HG04006	H1	4.69647842256455	572.449465230354	121.889086614341	1
HG01583	H1	2.35010085949735	269.770021667271	114.79082720091	1
HG04002	H1	2.50610549477802	388.141323878147	154.878286124395	1
HG04206	H1	3.23239084834687	541.854194601534	167.632634796826	1
HG03777	H1	2.61481517471597	438.383201126963	167.65360908332	1
HG03824	H1	3.39898685002631	1188.04990787004	349.530598466672	1
HG03745	H1	2.6081256505184	462.271818880534	177.242924929116	1
HG04161	H1	3.70816303459088	799.874434867977	215.706382757851	1
NA21113	H1	2.17000992977132	556.304757629112	256.360466372492	1
HG03738	H1	2.4081404031338	328.487193835128	136.406994130266	1
HG03985	H1	2.33339103599966	173.945407196653	74.5461881497855	1
HG04188	H1	3.52868664360481	777.57348125336	220.357759072371	1
HG04061	H1	2.30867272848696	240.767646972521	104.288340223222	1
HG03600	H1	3.50732634218313	758.793335203812	216.345233141751	1
NA21126	H1	4.07847713448625	465.695655442116	114.183711244657	1
NA21107	H1	3.16294114920531	877.948092621921	277.573325334399	1
NA21093	H1	3.56715834898591	630.174535929961	176.660095874104	1
NA21099	H1	1.56963723515027	158.840039027811	101.195381627529	1
HG03800	H1	4.72136717928705	547.15310138469	115.888699312582	1
HG03716	H1	4.73343702795296	569.566751914993	120.328367854364	1
NA20901	H1	3.2800717646291	440.500559840639	134.296012846673	1
NA20871	H1	2.19301538975856	252.341999802631	115.066223876528	1
HG04164	H1	3.50552183742425	863.232081277108	246.249238005427	1
NA21116	H1	2.84629454377618	557.485145921567	195.863477004017	1
HG03778	H1	2.79832908413008	492.704607690941	176.071002686987	1
HG03009	H1	2.48820670533251	577.299409535483	232.014248775339	1
