number	run	sample	population	sex
139	sample139	ERR188159	HG00245	GBR	female
140	sample140	ERR188160	NA20513	TSI	male
141	sample141	ERR188161	NA11918	CEU	female
142	sample142	ERR188162	NA18508	YRI	female
143	sample143	ERR188163	HG00174	FIN	female
144	sample144	ERR188164	HG00159	GBR	male
145	sample145	ERR188165	NA18510	YRI	male
146	sample146	ERR188166	HG00108	GBR	male
147	sample147	ERR188167	HG00106	GBR	female
148	sample148	ERR188168	HG00346	FIN	female
149	sample149	ERR188169	HG00338	FIN	male
150	sample150	ERR188170	NA19131	YRI	female
151	sample151	ERR188171	NA20783	TSI	male
152	sample152	ERR188172	NA12154	CEU	male
153	sample153	ERR188173	NA20785	TSI	male
154	sample154	ERR188174	NA19198	YRI	male
155	sample155	ERR188175	HG00359	FIN	female
156	sample156	ERR188176	NA07357	CEU	male
157	sample157	ERR188177	NA12234	CEU	female
158	sample158	ERR188178	NA19114	YRI	female
159	sample159	ERR188179	NA20774	TSI	female
160	sample160	ERR188180	HG00177	FIN	female
161	sample161	ERR188181	NA12413	CEU	male
162	sample162	ERR188182	NA18912	YRI	female
163	sample163	ERR188183	NA19185	YRI	female
164	sample164	ERR188184	NA19147	YRI	female
165	sample165	ERR188185	HG00260	GBR	male
166	sample166	ERR188186	HG00115	GBR	male
167	sample167	ERR188187	HG00176	FIN	female
168	sample168	ERR188188	NA19099	YRI	female
169	sample169	ERR188189	HG00133	GBR	female
170	sample170	ERR188190	HG00171	FIN	female
171	sample171	ERR188191	NA20770	TSI	male
172	sample172	ERR188192	NA20786	TSI	female
173	sample173	ERR188193	NA19141	YRI	male
174	sample174	ERR188194	HG00284	FIN	male
175	sample175	ERR188195	NA20792	TSI	male
176	sample176	ERR188196	NA12717	CEU	female
177	sample177	ERR188197	HG00341	FIN	male
178	sample178	ERR188198	HG00373	FIN	female
179	sample179	ERR188199	NA20585	TSI	female
180	sample180	ERR188200	NA18519	YRI	male
181	sample181	ERR188201	NA20588	TSI	male
182	sample182	ERR188202	NA06989	CEU	female
183	sample183	ERR188203	NA20542	TSI	female
184	sample184	ERR188204	NA20524	TSI	male
185	sample185	ERR188205	HG00310	FIN	male
186	sample186	ERR188206	HG00100	GBR	female
187	sample187	ERR188207	NA19222	YRI	female
188	sample188	ERR188208	NA20538	TSI	male
189	sample189	ERR188209	NA19214	YRI	female
190	sample190	ERR188210	NA20816	TSI	male
191	sample191	ERR188211	NA19175	YRI	male
192	sample192	ERR188212	HG00231	GBR	female
193	sample193	ERR188213	NA06986	CEU	male
194	sample194	ERR188214	NA18486	YRI	male
195	sample195	ERR188215	HG00361	FIN	female
196	sample196	ERR188216	NA12873	CEU	female
197	sample197	ERR188217	NA11832	CEU	female
198	sample198	ERR188218	HG00325	FIN	male
199	sample199	ERR188219	HG00117	GBR	male
200	sample200	ERR188220	NA12400	CEU	female
201	sample201	ERR188221	NA19113	YRI	male
202	sample202	ERR188222	HG00265	GBR	male
203	sample203	ERR188223	NA18908	YRI	male
204	sample204	ERR188224	NA20528	TSI	male
205	sample205	ERR188225	NA19152	YRI	female
206	sample206	ERR188226	NA20532	TSI	male
207	sample207	ERR188227	NA12874	CEU	male
208	sample208	ERR188228	NA12829	CEU	male
209	sample209	ERR188229	NA12044	CEU	female
210	sample210	ERR188230	HG00278	FIN	male
211	sample211	ERR188231	HG00097	GBR	female
212	sample212	ERR188232	NA19160	YRI	male
213	sample213	ERR188233	NA11993	CEU	female
214	sample214	ERR188234	NA19116	YRI	female
215	sample215	ERR188235	NA11930	CEU	male
216	sample216	ERR188236	HG00118	GBR	female
217	sample217	ERR188237	HG00234	GBR	male
218	sample218	ERR188238	HG00269	FIN	female
219	sample219	ERR188239	NA20520	TSI	male
220	sample220	ERR188240	HG00306	FIN	female
221	sample221	ERR188241	HG00356	FIN	female
222	sample222	ERR188242	HG00258	GBR	female
223	sample223	ERR188243	NA19098	YRI	male
224	sample224	ERR188244	NA12718	CEU	female
225	sample225	ERR188245	HG00128	GBR	female
226	sample226	ERR188246	NA11840	CEU	female
227	sample227	ERR188247	HG00104	GBR	female
228	sample228	ERR188248	HG00178	FIN	female
229	sample229	ERR188249	NA20802	TSI	female
230	sample230	ERR188250	HG00272	FIN	female
231	sample231	ERR188251	NA20756	TSI	female
232	sample232	ERR188252	NA20544	TSI	male
233	sample233	ERR188253	NA20808	TSI	female
234	sample234	ERR188254	NA20506	TSI	female
235	sample235	ERR188255	HG00323	FIN	female
236	sample236	ERR188256	NA12777	CEU	male
237	sample237	ERR188257	HG00143	GBR	male
238	sample238	ERR188258	NA20530	TSI	female
239	sample239	ERR188259	NA20582	TSI	female
240	sample240	ERR188260	HG00369	FIN	male
241	sample241	ERR188261	NA19108	YRI	female
242	sample242	ERR188262	NA12283	CEU	female
243	sample243	ERR188263	HG00281	FIN	female
244	sample244	ERR188264	HG00274	FIN	female
245	sample245	ERR188265	NA20814	TSI	male
246	sample246	ERR188266	HG00282	FIN	female
247	sample247	ERR188267	HG00266	FIN	female
248	sample248	ERR188268	NA19095	YRI	female
249	sample249	ERR188269	NA18916	YRI	female
250	sample250	ERR188270	HG00342	FIN	male
251	sample251	ERR188271	HG00246	GBR	male
252	sample252	ERR188272	NA11881	CEU	male
253	sample253	ERR188273	NA18505	YRI	female
254	sample254	ERR188274	HG00277	FIN	male
255	sample255	ERR188275	NA19201	YRI	female
256	sample256	ERR188276	NA20758	TSI	male
257	sample257	ERR188277	NA12340	CEU	male
258	sample258	ERR188278	NA18861	YRI	female
259	sample259	ERR188279	NA12776	CEU	female
260	sample260	ERR188280	HG00381	FIN	female
261	sample261	ERR188281	NA20801	TSI	male
262	sample262	ERR188282	NA20809	TSI	male
263	sample263	ERR188283	NA18907	YRI	female
264	sample264	ERR188284	NA19223	YRI	male
265	sample265	ERR188285	HG00122	GBR	female
266	sample266	ERR188286	NA20805	TSI	male
267	sample267	ERR188287	HG00156	GBR	male
268	sample268	ERR188288	NA20507	TSI	female
269	sample269	ERR188289	HG00232	GBR	female
270	sample270	ERR188290	NA20811	TSI	male
271	sample271	ERR188291	NA12813	CEU	female
272	sample272	ERR188292	NA19189	YRI	male
273	sample273	ERR188293	HG00116	GBR	male
274	sample274	ERR188294	HG00332	FIN	female
275	sample275	ERR188295	NA20757	TSI	female
276	sample276	ERR188296	HG00330	FIN	female
277	sample277	ERR188297	NA20503	TSI	female
278	sample278	ERR188298	NA18867	YRI	female
279	sample279	ERR188299	HG00376	FIN	female
280	sample280	ERR188300	HG00319	FIN	female
281	sample281	ERR188301	NA11994	CEU	male
282	sample282	ERR188302	HG00183	FIN	male
283	sample283	ERR188303	HG00364	FIN	female
284	sample284	ERR188304	HG00179	FIN	female
285	sample285	ERR188305	NA20773	TSI	female
286	sample286	ERR188306	NA19138	YRI	male
287	sample287	ERR188307	HG00101	GBR	male
288	sample288	ERR188308	NA12760	CEU	male
289	sample289	ERR188309	HG00150	GBR	female
290	sample290	ERR188310	HG00124	GBR	female
291	sample291	ERR188311	NA18488	YRI	female
292	sample292	ERR188312	HG00233	GBR	female
293	sample293	ERR188313	NA18873	YRI	female
294	sample294	ERR188314	HG00380	FIN	female
295	sample295	ERR188315	HG00120	GBR	female
296	sample296	ERR188316	NA20796	TSI	male
297	sample297	ERR188317	NA20527	TSI	male
298	sample298	ERR188318	HG00276	FIN	female
299	sample299	ERR188319	NA12249	CEU	female
300	sample300	ERR188320	HG00185	FIN	male
301	sample301	ERR188321	HG00339	FIN	female
302	sample302	ERR188322	NA19190	YRI	female
303	sample303	ERR188323	HG00257	GBR	female
304	sample304	ERR188324	NA07347	CEU	male
305	sample305	ERR188325	NA06984	CEU	male
306	sample306	ERR188326	HG00275	FIN	female
307	sample307	ERR188327	NA06985	CEU	female
308	sample308	ERR188328	HG00109	GBR	male
309	sample309	ERR188329	NA20505	TSI	female
310	sample310	ERR188330	HG00379	FIN	female
311	sample311	ERR188331	NA12155	CEU	male
312	sample312	ERR188332	HG00158	GBR	female
313	sample313	ERR188333	HG00238	GBR	female
314	sample314	ERR188334	NA20543	TSI	male
315	sample315	ERR188335	NA20798	TSI	male
316	sample316	ERR188336	NA12004	CEU	female
317	sample317	ERR188337	HG00127	GBR	female
318	sample318	ERR188338	HG00134	GBR	female
319	sample319	ERR188339	NA12815	CEU	female
320	sample320	ERR188340	HG00353	FIN	female
321	sample321	ERR188341	HG00328	FIN	female
322	sample322	ERR188342	HG00111	GBR	female
323	sample323	ERR188343	NA20589	TSI	female
324	sample324	ERR188344	NA18868	YRI	male
325	sample325	ERR188345	NA20771	TSI	female
326	sample326	ERR188346	HG00312	FIN	male
327	sample327	ERR188347	NA20525	TSI	male
328	sample328	ERR188348	NA11995	CEU	female
329	sample329	ERR188349	NA12842	CEU	male
330	sample330	ERR188350	NA12399	CEU	male
331	sample331	ERR188351	HG00253	GBR	female
332	sample332	ERR188352	NA18909	YRI	female
333	sample333	ERR188353	NA20586	TSI	male
334	sample334	ERR188354	NA12775	CEU	male
335	sample335	ERR188355	HG00267	FIN	male
336	sample336	ERR188356	NA20514	TSI	female
337	sample337	ERR188357	NA20517	TSI	female
338	sample338	ERR188358	HG00367	FIN	female
339	sample339	ERR188359	NA20537	TSI	male
340	sample340	ERR188360	NA20787	TSI	male
341	sample341	ERR188361	HG00189	FIN	male
342	sample342	ERR188362	HG00371	FIN	male
343	sample343	ERR188363	NA19206	YRI	female
344	sample344	ERR188364	NA19248	YRI	male
345	sample345	ERR188365	NA19117	YRI	male
346	sample346	ERR188366	HG00264	GBR	male
347	sample347	ERR188367	NA19102	YRI	female
348	sample348	ERR188368	HG00105	GBR	male
349	sample349	ERR188369	NA20512	TSI	male
350	sample350	ERR188370	HG00240	GBR	female
351	sample351	ERR188371	NA11920	CEU	female
352	sample352	ERR188372	NA20807	TSI	female
353	sample353	ERR188373	NA18870	YRI	female
354	sample354	ERR188374	HG00360	FIN	male
355	sample355	ERR188375	NA18858	YRI	female
356	sample356	ERR188376	NA07037	CEU	female
357	sample357	ERR188377	NA12045	CEU	male
358	sample358	ERR188378	HG00259	GBR	female
359	sample359	ERR188379	HG00148	GBR	male
360	sample360	ERR188380	NA20502	TSI	female
361	sample361	ERR188381	NA20769	TSI	female
362	sample362	ERR188382	NA20536	TSI	male
363	sample363	ERR188383	HG00136	GBR	male
364	sample364	ERR188384	NA20795	TSI	female
365	sample365	ERR188385	HG00138	GBR	male
366	sample366	ERR188386	NA20521	TSI	male
367	sample367	ERR188387	HG00160	GBR	male
368	sample368	ERR188388	NA12341	CEU	female
369	sample369	ERR188389	NA10851	CEU	male
370	sample370	ERR188390	NA19235	YRI	female
371	sample371	ERR188391	HG01789	GBR	male
372	sample372	ERR188392	NA19210	YRI	male
373	sample373	ERR188393	NA20772	TSI	female
374	sample374	ERR188394	NA20813	TSI	female
375	sample375	ERR188395	HG00365	FIN	female
376	sample376	ERR188396	NA12383	CEU	female
377	sample377	ERR188397	HG00271	FIN	male
378	sample378	ERR188398	NA20535	TSI	female
379	sample379	ERR188399	NA20531	TSI	female
380	sample380	ERR188400	HG00188	FIN	male
381	sample381	ERR188401	HG00141	GBR	male
382	sample382	ERR188402	NA20581	TSI	male
383	sample383	ERR188403	HG00131	GBR	male
384	sample384	ERR188404	NA12750	CEU	male
385	sample385	ERR188405	NA20799	TSI	female
386	sample386	ERR188406	NA20828	TSI	female
387	sample387	ERR188407	HG01790	GBR	female
388	sample388	ERR188408	NA20810	TSI	male
389	sample389	ERR188409	NA18923	YRI	male
390	sample390	ERR188410	NA12156	CEU	female
391	sample391	ERR188411	HG00243	GBR	male
392	sample392	ERR188412	HG00129	GBR	male
393	sample393	ERR188413	NA12890	CEU	female
394	sample394	ERR188414	NA12043	CEU	male
395	sample395	ERR188415	NA12058	CEU	female
396	sample396	ERR188416	HG00102	GBR	female
397	sample397	ERR188417	HG00327	FIN	female
398	sample398	ERR188418	HG00326	FIN	female
399	sample399	ERR188419	NA20800	TSI	female
400	sample400	ERR188420	NA12763	CEU	female
401	sample401	ERR188421	NA19225	YRI	female
402	sample402	ERR188422	NA19172	YRI	female
403	sample403	ERR188423	NA19107	YRI	male
404	sample404	ERR188424	NA20819	TSI	female
405	sample405	ERR188425	HG00187	FIN	male
406	sample406	ERR188426	NA11843	CEU	male
407	sample407	ERR188427	NA19159	YRI	female
408	sample408	ERR188428	HG00099	GBR	female
409	sample409	ERR188429	NA12889	CEU	male
410	sample410	ERR188430	HG00132	GBR	female
411	sample411	ERR188431	NA12273	CEU	female
412	sample412	ERR188432	HG00309	FIN	female
413	sample413	ERR188433	NA11829	CEU	male
414	sample414	ERR188434	NA19209	YRI	female
415	sample415	ERR188435	NA11830	CEU	female
416	sample416	ERR188436	NA20540	TSI	female
417	sample417	ERR188437	NA20803	TSI	male
418	sample418	ERR188438	NA12272	CEU	male
419	sample419	ERR188439	HG00329	FIN	male
420	sample420	ERR188440	NA19200	YRI	male
421	sample421	ERR188441	NA12348	CEU	female
422	sample422	ERR188442	NA18910	YRI	male
423	sample423	ERR188443	HG00130	GBR	female
424	sample424	ERR188444	NA19129	YRI	female
425	sample425	ERR188445	HG00173	FIN	female
426	sample426	ERR188446	NA12347	CEU	male
427	sample427	ERR188447	NA18934	YRI	male
428	sample428	ERR188448	HG00244	GBR	male
429	sample429	ERR188449	NA18499	YRI	female
430	sample430	ERR188450	HG00235	GBR	female
431	sample431	ERR188451	NA19149	YRI	female
432	sample432	ERR188452	NA20515	TSI	male
433	sample433	ERR188453	NA20529	TSI	female
434	sample434	ERR188454	NA19207	YRI	male
435	sample435	ERR188455	HG00146	GBR	female
436	sample436	ERR188456	HG00249	GBR	female
437	sample437	ERR188457	HG00280	FIN	male
438	sample438	ERR188458	NA20516	TSI	male
439	sample439	ERR188459	NA19143	YRI	female
440	sample440	ERR188460	NA19153	YRI	male
441	sample441	ERR188461	HG00126	GBR	male
442	sample442	ERR188462	HG00375	FIN	male
443	sample443	ERR188463	NA19247	YRI	female
444	sample444	ERR188464	HG00252	GBR	male
445	sample445	ERR188465	HG00112	GBR	male
446	sample446	ERR188466	HG00142	GBR	male
447	sample447	ERR188467	NA12286	CEU	male
448	sample448	ERR188468	HG00154	GBR	female
449	sample449	ERR188469	HG01334	GBR	male
450	sample450	ERR188470	HG02215	GBR	female
451	sample451	ERR188471	NA19130	YRI	male
452	sample452	ERR188472	HG00378	FIN	female
453	sample453	ERR188473	HG00344	FIN	female
454	sample454	ERR188474	NA07051	CEU	male
455	sample455	ERR188475	NA20815	TSI	male
456	sample456	ERR188476	NA19093	YRI	female
457	sample457	ERR188477	NA12778	CEU	female
458	sample458	ERR188478	HG01791	GBR	male
459	sample459	ERR188479	NA20761	TSI	female
460	sample460	ERR188480	HG00362	FIN	female
461	sample461	ERR188481	NA07048	CEU	male
462	sample462	ERR188482	HG00308	FIN	male
